introduction_id,country_id,year_id,description,intro_status
145745,14,2003,IPV (Inactivated polio vaccine) 2nd dose,No
145746,14,2003,Japanese Encephalitis,No
145747,14,2003,Measles-containing vaccine 2nd dose,Yes
145748,14,2003,Meningococcal meningitis vaccines (all strains),No
145749,14,2003,Mumps vaccine,Yes
145750,14,2003,PCV (Pneumococcal conjugate vaccine),No
145751,14,2003,PPV (Pneumococcal polysaccharide vaccine),No
145752,14,2003,Rubella vaccine,Yes
145753,14,2003,Seasonal Influenza vaccine,No
145754,14,2003,Typhoid,No
145755,14,2003,Varicella vaccine,No
145756,14,2003,YF (Yellow fever) vaccine,No
145757,14,2002,aP (acellular pertussis) vaccine,No
145758,14,2002,Hepatitis A vaccine,No
145759,14,2002,Hepatitis B vaccine,Yes
145760,14,2002,HepB birth dose,Yes
145761,14,2002,Hib (Haemophilus influenzae type B) vaccine,No
145762,14,2002,IPV (Inactivated polio vaccine),No
145763,14,2002,IPV (Inactivated polio vaccine) 2nd dose,No
145764,14,2002,Japanese Encephalitis,No
145765,14,2002,Measles-containing vaccine 2nd dose,Yes
145766,14,2002,Meningococcal meningitis vaccines (all strains),No
145767,14,2002,Mumps vaccine,No
145768,14,2002,PCV (Pneumococcal conjugate vaccine),No
145769,14,2002,PPV (Pneumococcal polysaccharide vaccine),No
145770,14,2002,Rubella vaccine,No
145771,14,2002,Seasonal Influenza vaccine,No
145772,14,2002,Typhoid,No
145773,14,2002,Varicella vaccine,No
145774,14,2002,YF (Yellow fever) vaccine,No
145775,14,2001,aP (acellular pertussis) vaccine,No
145776,14,2001,Hepatitis B vaccine,Yes
145777,14,2001,HepB birth dose,Yes
145778,14,2001,Hib (Haemophilus influenzae type B) vaccine,No
145779,14,2001,IPV (Inactivated polio vaccine),No
145780,14,2001,Japanese Encephalitis,No
145781,14,2001,Measles-containing vaccine 2nd dose,Yes
145782,14,2001,Meningococcal meningitis vaccines (all strains),No
145783,14,2001,Mumps vaccine,No
145784,14,2001,PCV (Pneumococcal conjugate vaccine),No
145785,14,2001,PPV (Pneumococcal polysaccharide vaccine),No
145786,14,2001,Rubella vaccine,No
145787,14,2001,Seasonal Influenza vaccine,No
145788,14,2001,Varicella vaccine,No
145789,14,2001,YF (Yellow fever) vaccine,No
145790,14,2000,Hepatitis B vaccine,No
145791,14,2000,HepB birth dose,No
145792,14,2000,Hib (Haemophilus influenzae type B) vaccine,No
145793,14,2000,IPV (Inactivated polio vaccine),No
145794,14,2000,Measles-containing vaccine 2nd dose,No
145795,14,2000,Meningococcal meningitis vaccines (all strains),No
145796,14,2000,Mumps vaccine,No
145797,14,2000,PCV (Pneumococcal conjugate vaccine),No
145798,14,2000,PPV (Pneumococcal polysaccharide vaccine),No
145799,14,2000,Rubella vaccine,No
145800,14,2000,Seasonal Influenza vaccine,No
145801,14,2000,YF (Yellow fever) vaccine,No
145802,14,1999,Hepatitis B vaccine,No
145803,14,1999,HepB birth dose,No
145804,14,1999,Hib (Haemophilus influenzae type B) vaccine,No
145805,14,1999,IPV (Inactivated polio vaccine),No
145806,14,1999,Measles-containing vaccine 2nd dose,No
145807,14,1999,Meningococcal meningitis vaccines (all strains),No
145808,14,1999,Mumps vaccine,No
145809,14,1999,PPV (Pneumococcal polysaccharide vaccine),No
145810,14,1999,Rubella vaccine,No
145811,14,1999,Seasonal Influenza vaccine,No
145812,14,1999,YF (Yellow fever) vaccine,No
145813,14,1998,Hepatitis B vaccine,No
145814,14,1998,HepB birth dose,No
145815,14,1998,Hib (Haemophilus influenzae type B) vaccine,No
145816,14,1998,IPV (Inactivated polio vaccine),No
145817,14,1998,Measles-containing vaccine 2nd dose,No
145818,14,1998,Mumps vaccine,No
145819,14,1998,Rubella vaccine,No
145820,14,1998,Seasonal Influenza vaccine,No
145821,14,1998,YF (Yellow fever) vaccine,No
145822,14,1997,Hepatitis B vaccine,No
145823,14,1997,HepB birth dose,No
145824,14,1997,Hib (Haemophilus influenzae type B) vaccine,No
145825,14,1997,IPV (Inactivated polio vaccine),No
145826,14,1997,Measles-containing vaccine 2nd dose,No
145827,14,1997,Mumps vaccine,No
145828,14,1997,Rubella vaccine,No
145829,14,1997,Seasonal Influenza vaccine,No
145830,14,1997,YF (Yellow fever) vaccine,No
145831,14,1996,Hepatitis B vaccine,No
145832,14,1996,HepB birth dose,No
145833,14,1996,Hib (Haemophilus influenzae type B) vaccine,No
145834,14,1996,IPV (Inactivated polio vaccine),No
145835,14,1996,Measles-containing vaccine 2nd dose,No
145836,14,1996,Mumps vaccine,No
145837,14,1996,Rubella vaccine,No
145838,14,1996,Seasonal Influenza vaccine,No
145839,14,1996,YF (Yellow fever) vaccine,No
145840,14,1995,Hepatitis B vaccine,No
145841,14,1995,HepB birth dose,No
145842,14,1995,Hib (Haemophilus influenzae type B) vaccine,No
145843,14,1995,IPV (Inactivated polio vaccine),No
145844,14,1995,IPV (Inactivated polio vaccine) 2nd dose,No
145845,14,1995,Measles-containing vaccine 2nd dose,No
145846,14,1995,Mumps vaccine,No
145847,14,1995,Rubella vaccine,No
145848,14,1995,Seasonal Influenza vaccine,No
145849,14,1995,YF (Yellow fever) vaccine,No
145850,14,1994,Hepatitis B vaccine,No
145851,14,1994,HepB birth dose,No
145852,14,1994,Hib (Haemophilus influenzae type B) vaccine,No
145853,14,1994,IPV (Inactivated polio vaccine),No
145854,14,1994,Measles-containing vaccine 2nd dose,No
145855,14,1994,Mumps vaccine,No
145856,14,1994,Rubella vaccine,No
145857,14,1994,Seasonal Influenza vaccine,No
145858,14,1994,YF (Yellow fever) vaccine,No
145859,14,1993,Hepatitis B vaccine,No
145860,14,1993,HepB birth dose,No
145861,14,1993,Hib (Haemophilus influenzae type B) vaccine,No
