cases_id,country_id,year_id,source_group,disease_id,cases
343,2.0,1999,COUNTRIES,9,
344,2.0,1999,COUNTRIES,10,221.0
345,2.0,1999,COUNTRIES,12,0.0
346,2.0,1998,COUNTRIES,2,84.0
347,2.0,1998,COUNTRIES,4,2205.0
348,2.0,1998,COUNTRIES,6,310.0
349,2.0,1998,COUNTRIES,7,896.0
350,2.0,1998,COUNTRIES,8,59.0
351,2.0,1998,COUNTRIES,10,383.0
352,2.0,1998,COUNTRIES,12,0.0
353,2.0,1997,COUNTRIES,2,
354,2.0,1997,COUNTRIES,4,
355,2.0,1997,COUNTRIES,6,
356,2.0,1997,COUNTRIES,7,
357,2.0,1997,COUNTRIES,8,19.0
358,2.0,1997,COUNTRIES,10,
359,2.0,1997,COUNTRIES,12,
360,2.0,1996,COUNTRIES,2,
361,2.0,1996,COUNTRIES,4,
362,2.0,1996,COUNTRIES,6,
363,2.0,1996,COUNTRIES,7,
364,2.0,1996,COUNTRIES,8,
365,2.0,1996,COUNTRIES,10,
366,2.0,1996,COUNTRIES,12,
367,2.0,1995,COUNTRIES,2,
368,2.0,1995,COUNTRIES,4,
369,2.0,1995,COUNTRIES,6,
370,2.0,1995,COUNTRIES,7,
371,2.0,1995,COUNTRIES,8,0.0
372,2.0,1995,COUNTRIES,10,
373,2.0,1995,COUNTRIES,12,
374,2.0,1994,COUNTRIES,2,
375,2.0,1994,COUNTRIES,4,
376,2.0,1994,COUNTRIES,6,
377,2.0,1994,COUNTRIES,7,
378,2.0,1994,COUNTRIES,8,
379,2.0,1994,COUNTRIES,10,
380,2.0,1994,COUNTRIES,12,
381,2.0,1993,COUNTRIES,2,
382,2.0,1993,COUNTRIES,4,
383,2.0,1993,COUNTRIES,6,
384,2.0,1993,COUNTRIES,7,
385,2.0,1993,COUNTRIES,8,
386,2.0,1993,COUNTRIES,10,
387,2.0,1993,COUNTRIES,12,
388,2.0,1992,COUNTRIES,2,
389,2.0,1992,COUNTRIES,4,
390,2.0,1992,COUNTRIES,6,
391,2.0,1992,COUNTRIES,7,
392,2.0,1992,COUNTRIES,8,
393,2.0,1992,COUNTRIES,10,
394,2.0,1992,COUNTRIES,12,
395,2.0,1991,COUNTRIES,2,21.0
396,2.0,1991,COUNTRIES,4,792.0
397,2.0,1991,COUNTRIES,6,0.0
398,2.0,1991,COUNTRIES,7,541.0
399,2.0,1991,COUNTRIES,8,2.0
400,2.0,1991,COUNTRIES,10,3.0
401,2.0,1991,COUNTRIES,12,
402,2.0,1990,COUNTRIES,2,368.0
403,2.0,1990,COUNTRIES,4,1609.0
404,2.0,1990,COUNTRIES,6,3.0
405,2.0,1990,COUNTRIES,7,411.0
406,2.0,1990,COUNTRIES,8,48.0
407,2.0,1990,COUNTRIES,10,131.0
408,2.0,1990,COUNTRIES,12,
409,2.0,1989,COUNTRIES,2,286.0
410,2.0,1989,COUNTRIES,4,1170.0
411,2.0,1989,COUNTRIES,6,
412,2.0,1989,COUNTRIES,7,1494.0
413,2.0,1989,COUNTRIES,8,55.0
414,2.0,1989,COUNTRIES,10,51.0
415,2.0,1989,COUNTRIES,12,
416,2.0,1988,COUNTRIES,2,661.0
417,2.0,1988,COUNTRIES,4,4561.0
418,2.0,1988,COUNTRIES,6,
419,2.0,1988,COUNTRIES,7,4587.0
420,2.0,1988,COUNTRIES,8,307.0
421,2.0,1988,COUNTRIES,10,951.0
422,2.0,1988,COUNTRIES,12,
423,2.0,1987,COUNTRIES,2,1272.0
424,2.0,1987,COUNTRIES,4,10357.0
425,2.0,1987,COUNTRIES,6,
426,2.0,1987,COUNTRIES,7,6073.0
427,2.0,1987,COUNTRIES,8,628.0
428,2.0,1987,COUNTRIES,10,168.0
429,2.0,1987,COUNTRIES,12,
430,2.0,1986,COUNTRIES,2,1053.0
431,2.0,1986,COUNTRIES,4,8107.0
432,2.0,1986,COUNTRIES,6,
433,2.0,1986,COUNTRIES,7,5872.0
434,2.0,1986,COUNTRIES,8,1843.0
435,2.0,1986,COUNTRIES,10,698.0
436,2.0,1986,COUNTRIES,12,
437,2.0,1985,COUNTRIES,2,3179.0
438,2.0,1985,COUNTRIES,4,14457.0
439,2.0,1985,COUNTRIES,6,
440,2.0,1985,COUNTRIES,7,8531.0
441,2.0,1985,COUNTRIES,8,1981.0
442,2.0,1985,COUNTRIES,10,2829.0
443,2.0,1985,COUNTRIES,12,
444,2.0,1984,COUNTRIES,2,555.0
445,2.0,1984,COUNTRIES,4,16199.0
446,2.0,1984,COUNTRIES,6,
447,2.0,1984,COUNTRIES,7,6175.0
448,2.0,1984,COUNTRIES,8,552.0
449,2.0,1984,COUNTRIES,10,355.0
450,2.0,1984,COUNTRIES,12,
451,2.0,1983,COUNTRIES,2,1940.0
452,2.0,1983,COUNTRIES,4,18808.0
453,2.0,1983,COUNTRIES,6,
454,2.0,1983,COUNTRIES,7,10209.0
455,2.0,1983,COUNTRIES,8,1991.0
456,2.0,1983,COUNTRIES,10,912.0
457,2.0,1983,COUNTRIES,12,
458,2.0,1982,COUNTRIES,2,1563.0
459,2.0,1982,COUNTRIES,4,20320.0
460,2.0,1982,COUNTRIES,6,121.0
461,2.0,1982,COUNTRIES,7,8528.0
462,2.0,1982,COUNTRIES,8,1390.0
463,2.0,1982,COUNTRIES,10,1481.0
464,2.0,1982,COUNTRIES,12,
465,2.0,1981,COUNTRIES,2,1464.0
466,2.0,1981,COUNTRIES,4,31107.0
467,2.0,1981,COUNTRIES,6,14.0
468,2.0,1981,COUNTRIES,7,15388.0
469,2.0,1981,COUNTRIES,8,837.0
470,2.0,1981,COUNTRIES,10,1208.0
471,2.0,1981,COUNTRIES,12,
472,2.0,1980,COUNTRIES,2,1939.0
473,2.0,1980,COUNTRIES,4,32455.0
474,2.0,1980,COUNTRIES,6,16.0
475,2.0,1980,COUNTRIES,7,15748.0
476,2.0,1980,COUNTRIES,8,880.0
477,2.0,1980,COUNTRIES,10,1618.0
478,2.0,1980,COUNTRIES,12,
479,,2023,WHO_REGIONS,1,124.0
480,,2023,WHO_REGIONS,2,18684.0
481,,2023,WHO_REGIONS,3,828.0
482,,2023,WHO_REGIONS,13,2.0
483,,2023,WHO_REGIONS,4,424433.0
484,,2023,WHO_REGIONS,5,317304.0
485,,2023,WHO_REGIONS,6,3654.0
486,,2023,WHO_REGIONS,7,5207.0
487,,2023,WHO_REGIONS,8,503.0
488,,2023,WHO_REGIONS,9,26295.0
489,,2023,WHO_REGIONS,10,16324.0
490,,2023,WHO_REGIONS,11,3635591.0
491,,2023,WHO_REGIONS,12,435.0
492,,2022,WHO_REGIONS,1,5.0
493,,2022,WHO_REGIONS,2,4856.0
494,,2022,WHO_REGIONS,3,11874.0
495,,2022,WHO_REGIONS,13,0.0
496,,2022,WHO_REGIONS,4,97230.0
497,,2022,WHO_REGIONS,5,231965.0
498,,2022,WHO_REGIONS,6,1149.0
499,,2022,WHO_REGIONS,7,4643.0
500,,2022,WHO_REGIONS,8,694.0
501,,2022,WHO_REGIONS,9,10297.0
502,,2022,WHO_REGIONS,10,3477.0
503,,2022,WHO_REGIONS,11,2478436.0
504,,2022,WHO_REGIONS,12,203.0
505,,2021,WHO_REGIONS,1,100.0
506,,2021,WHO_REGIONS,2,4724.0
507,,2021,WHO_REGIONS,3,23295.0
508,,2021,WHO_REGIONS,13,0.0
509,,2021,WHO_REGIONS,4,88760.0
510,,2021,WHO_REGIONS,5,84787.0
511,,2021,WHO_REGIONS,6,712.0
512,,2021,WHO_REGIONS,7,3326.0
513,,2021,WHO_REGIONS,8,543.0
514,,2021,WHO_REGIONS,9,3863.0
515,,2021,WHO_REGIONS,10,2926.0
516,,2021,WHO_REGIONS,11,1853103.0
517,,2021,WHO_REGIONS,12,256.0
518,,2020,WHO_REGIONS,1,28.0
519,,2020,WHO_REGIONS,2,5387.0
520,,2020,WHO_REGIONS,3,16243.0
521,,2020,WHO_REGIONS,13,0.0
522,,2020,WHO_REGIONS,4,115368.0
523,,2020,WHO_REGIONS,5,94491.0
524,,2020,WHO_REGIONS,6,1218.0
525,,2020,WHO_REGIONS,7,2266.0
526,,2020,WHO_REGIONS,8,563.0
527,,2020,WHO_REGIONS,9,4840.0
528,,2020,WHO_REGIONS,10,7737.0
529,,2020,WHO_REGIONS,11,882433.0
530,,2020,WHO_REGIONS,12,1110.0
531,,2019,WHO_REGIONS,1,9.0
532,,2019,WHO_REGIONS,2,11400.0
533,,2019,WHO_REGIONS,13,0.0
534,,2019,WHO_REGIONS,4,618595.0
535,,2019,WHO_REGIONS,5,38795.0
536,,2019,WHO_REGIONS,6,1151.0
537,,2019,WHO_REGIONS,7,4121.0
538,,2019,WHO_REGIONS,8,328.0
539,,2019,WHO_REGIONS,9,6026.0
540,,2019,WHO_REGIONS,10,3606.0
541,,2019,WHO_REGIONS,11,141612.0
542,,2019,WHO_REGIONS,12,360.0
543,,2018,WHO_REGIONS,1,18.0
544,,2018,WHO_REGIONS,2,1971.0
545,,2018,WHO_REGIONS,13,0.0
546,,2018,WHO_REGIONS,4,125426.0
547,,2018,WHO_REGIONS,5,54482.0
548,,2018,WHO_REGIONS,6,1130.0
549,,2018,WHO_REGIONS,7,14001.0
550,,2018,WHO_REGIONS,8,65.0
551,,2018,WHO_REGIONS,9,11787.0
552,,2018,WHO_REGIONS,10,5235.0
553,,2018,WHO_REGIONS,11,1894.0
554,,2018,WHO_REGIONS,12,734.0
555,,2017,WHO_REGIONS,1,24.0
556,,2017,WHO_REGIONS,2,118.0
557,,2017,WHO_REGIONS,13,0.0
558,,2017,WHO_REGIONS,4,72603.0
559,,2017,WHO_REGIONS,5,41490.0
560,,2017,WHO_REGIONS,6,979.0
561,,2017,WHO_REGIONS,7,7082.0
562,,2017,WHO_REGIONS,8,22.0
563,,2017,WHO_REGIONS,9,6166.0
564,,2017,WHO_REGIONS,10,2791.0
565,,2017,WHO_REGIONS,12,53.0
566,,2016,WHO_REGIONS,1,14.0
567,,2016,WHO_REGIONS,2,2870.0
568,,2016,WHO_REGIONS,13,0.0
569,,2016,WHO_REGIONS,4,36269.0
570,,2016,WHO_REGIONS,5,100576.0
571,,2016,WHO_REGIONS,6,1183.0
572,,2016,WHO_REGIONS,7,1435.0
573,,2016,WHO_REGIONS,8,5.0
574,,2016,WHO_REGIONS,9,4157.0
575,,2016,WHO_REGIONS,10,5787.0
576,,2016,WHO_REGIONS,12,1040.0
577,,2015,WHO_REGIONS,1,78.0
578,,2015,WHO_REGIONS,2,1654.0
579,,2015,WHO_REGIONS,13,0.0
580,,2015,WHO_REGIONS,4,52758.0
581,,2015,WHO_REGIONS,5,28492.0
582,,2015,WHO_REGIONS,6,1289.0
583,,2015,WHO_REGIONS,7,7565.0
584,,2015,WHO_REGIONS,8,18.0
585,,2015,WHO_REGIONS,9,5302.0
586,,2015,WHO_REGIONS,10,3529.0
587,,2015,WHO_REGIONS,12,35.0
588,,2014,WHO_REGIONS,1,14.0
589,,2014,WHO_REGIONS,2,1.0
590,,2014,WHO_REGIONS,13,0.0
591,,2014,WHO_REGIONS,4,73914.0
592,,2014,WHO_REGIONS,5,7.0
593,,2014,WHO_REGIONS,6,835.0
594,,2014,WHO_REGIONS,7,10098.0
595,,2014,WHO_REGIONS,8,19.0
596,,2014,WHO_REGIONS,9,7402.0
597,,2014,WHO_REGIONS,10,2900.0
